created_at,id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
2025-07-02 01:30:01+00:00,1940221388406833453,['1940221388406833453'],"じゅわっと、しゅわっと、ふわり華やぐ3種の新作ビバレッジが7/9(水)より登場✨

マスカットフレーバーを主役としたアールグレイ フローズン ティー、フラペチーノ®、チラックスソーダで至福のひと時を過ごしませんか？😉

#マスカットアールグレイフローズンティー
#グランマスカットフラペチーノ® https://t.co/uTPFO7UKLd",22610,119,96697,7778,5859,8126999,96697,22610,1
2025-07-01 02:02:00+00:00,1939867050727624809,['1939867050727624809'],"オリジナルデザインの #スターバックスeGift を贈って、同じ""好き""を持つ仲間と想いをシェアしませんか🎁
お気に入りの写真に組み合わせられる15色のスタンプやフレームが登場😉💕
https://t.co/xVWpzIiYPt

カードデザインのカスタマイズは、スマートフォンからお楽しみいただけます📲✨ https://t.co/MbEXetrCco",189,5,1394,6,90,1330998,1394,189,2
2025-06-30 01:32:00+00:00,1939497114062717390,['1939497114062717390'],"本日(6/30)、『#ビタークリームコーヒー』が登場✨
香り高くビターな風味のエスプレッソと、コク深い甘みのソースを合わせた、クリーミーなエスプレッソビバレッジです☕

#スイートミルクコーヒー にもう少し、コーヒーの風味や香りが欲しいなというときにぴったりな味わいです😊 https://t.co/CMWAV4NS4H",9463,115,54871,2964,3307,5917551,54871,9463,1
2025-06-27 01:31:00+00:00,1938409696874106967,['1938409696874106967'],"季節の移ろいを感じるデザインのeGiftにメッセージを添えて、送りませんか☕️🎁
「いつもありがとう」や「リラックスしてね」の想いを乗せて、雨の日も、大切な人のこころを晴れやかに🌞🌈
https://t.co/ZJ6Ip5gprq https://t.co/ipfdPgGfLf",153,23,1056,4,40,1546611,1056,153,1
2025-06-26 02:21:45+00:00,1938060082258055301,['1938060082258055301'],"厳しい暑さが続く今年の梅雨、体調などくずされていませんか。
やさしい甘さのはちみつでほっとひと息コーヒータイムを。🍯
 
💐 #アールグレイブーケandティーラテ※
豊かな風味にトッピングされたはちみつで、気分も晴れやかに
☕ #ドリップコーヒー https://t.co/QTPkkjyOR7",733,26,4801,57,193,1517984,4801,733,2
2025-06-25 05:02:00+00:00,1937738021128028526,['1937738021128028526'],"都会の喧騒を離れ、エスケープできる少し贅沢な時間🏝️
羽を伸ばしてリラックスできる、そんな店舗をご紹介💫

この夏、皆さんが訪れたい店舗はどこですか？

💐 #よみうりランドHANABIYORI店
色とりどりの花や水槽に囲まれて、移ろう季節と会話を楽しめる癒しのスポット
⛱️ #泉南りんくう公園店 https://t.co/FeJ4Y3yJKE",214,17,1324,18,89,619568,1324,214,5
2025-06-25 03:02:00+00:00,1937707823196176503,['1937707823196176503'],"RT @StarbucksStoreJ: 全国28店舗限定、「My フルーツ³ フラペチーノ®（マイフルーツフラペチーノ®）」

本日(6/25)から、『My フルーツ³ フラペチーノ® ゴールデン パイン&amp;グアバ ヨーグルト※』が新たに登場🍍… https://t.co/I4…",1717,0,0,0,0,119,0,1717,3
2025-06-25 01:02:00+00:00,1937677623309865381,['1937677623309865381'],"本日(6/25)から7/8まで、モバイルオーダーでのご注文で「#アールグレイブーケandティーラテ」の全国のパートナー（従業員）の人気カスタマイズをプレゼント🎁
私たちのお気に入りの味わい「アールグレイ ブーケ &amp; アーモンド ミルク ティー ラテ with エクストラ ハニー」を楽しんでみませんか🍯✨ https://t.co/0yTZITVOiA",726,20,4302,108,443,1428735,4302,726,1
2025-06-24 05:03:00+00:00,1937375885184860474,['1937375885184860474'],"暑い季節はひんやりアイスコーヒーで涼やかなおうち時間を☕🧊✨
お好みの味わいにぴったりのいれ方にトライするなら…
みなさんはどちら派ですか？ハートで教えてください😉

💙スッキリ派→ #グラスドリップコーヒーメーカー
💚コク派→ #コーヒープレス
💛まろやか派→ https://t.co/gw5IcJYdJH",212,56,1572,16,97,1386906,1572,212,5
2025-06-23 05:01:00+00:00,1937012993973498292,['1937012993973498292'],"アールグレイ ブーケ ＆ ティーはもうお楽しみいただけましたか？☺️
今回は、バリスタおすすめのカスタマイズをご紹介します✨

💚#アールグレイブーケandティーフラペチーノ®
ホワイトモカとキャラメルソースを追加してよりクリーミーに。

💛#アールグレイブーケandティーラテ https://t.co/FOVpl5JUug",2002,37,11915,311,1843,1732318,11915,2002,5
2025-06-20 08:01:00+00:00,1935971129774272970,['1935971129774272970'],"自由なメッセージを刻印できるスターバックス #オンラインストア名入れサービス。
対象グッズにバリエーション豊富な新色が仲間入り🌈✨
大切な方に似合う色を選んで、想いを込めた刻印とともに贈りませんか🎁
オンリーワンの特別なギフトに😊
https://t.co/xrn9x1bMsH https://t.co/26v170I1KB",646,17,3399,138,569,1665326,3399,646,8
2025-06-18 01:01:00+00:00,1935140658463064236,['1935140658463064236'],"本日(6/18)より、アールグレイ ブーケ ＆ ティー 3品が登場✨
アールグレイの豊かな香りに、柑橘とはちみつが重なる爽やかな1杯です🍊🍯

暑い日こそ、優雅で心豊かなティービバレッジはいかがですか？☀
フラペチーノ®とアイスはもちろん、ホットもご用意しています🥤 https://t.co/fYUIaGgxhA",7800,54,30724,2054,1282,3184944,30724,7800,1
2025-06-17 07:02:01+00:00,1934869120409043292,['1934869120409043292'],"RT @starbucks_j_cpg: 本日(6/17)から、『スターバックス® ME MOMENT™ サンシャイン ライム / トロピカル ツイスト』がセブン-イレブン限定で新発売✨

ティーと果汁のハーモニーで、はじけるような活力のある一日を彩る、鮮やかなリフレッシュメン…",743,0,0,0,0,65,0,743,7
