id,created_at,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,likes,retweets,hour
1969301527845081127,2025-09-20 07:24:06+00:00,['1969301527845081127'],"🛑 Rúben Amorim on Rashford scoring: “Rasmus Hojlund also scored, I am happy for Rasmus also! It is the same thing with him guys”.

“You are so tough on Rasmus but he scored also, so let's notice that”. https://t.co/AJK6rfbHQk",1747,613,41193,180,292,2060520,41193,1747,7
1969297428734947584,2025-09-20 07:07:49+00:00,['1969297428734947584'],"🚨 Harry Maguire on Amorim’s system: “I think the formation is an easy one to go at… because we’re playing something a little bit different to everybody else”.

“The formation has been fine. It’s got to be down to the PLAYERS”, told Sky. https://t.co/u3Od31YlTC",1578,653,28675,140,239,1604349,28675,1578,7
1969293460285829584,2025-09-20 06:52:03+00:00,['1969293460285829584'],"🛑🎨 Arne Slot: “Florian Wirtz is an artist. He gets better and better every game”.

“Always wants the ball, even if he has moments where he could do better”.

“We don't have to teach him how to play football. He just has to adapt to Premier League intensity”. https://t.co/jKnVznZ8rT",1834,804,35574,286,291,1758975,35574,1834,6
1969293421337588137,2025-09-20 06:51:54+00:00,['1969293421337588137'],"💙🤍🐉 Two goals, one assist for Gabri Veiga as new FC Porto signing wins Man of the Match Award.

“I love playing in this new system under coach Farioli. It’s not just me, the whole team loves it”, Veiga says. https://t.co/l8wcV63EuA",835,349,18607,67,102,1000331,18607,835,6
1969233283788542117,2025-09-20 02:52:56+00:00,['1969233283788542117'],"🚨 Barça director Deco: “The negotiations with Frenkie de Jong are ongoing, I believe we will reach an agreement”.

“He is happy at Barcelona, and we are happy with him”, told Lance. https://t.co/DX7fT0aPzG",1567,334,37496,43,217,1229629,37496,1567,2
1969171151801762111,2025-09-19 22:46:02+00:00,['1969171151801762111'],"RT @FabrizioRomano: 🚨🇦🇷 Lionel Messi, closing in on new deal at Inter Miami with agreement at advanced stages.

Not a done deal yet as of t…",2405,0,0,0,0,0,0,2405,22
1969161071404491094,2025-09-19 22:05:59+00:00,['1969161071404491094'],"🚨 Maresca: “I’ll chat with Garnacho if we decide to start him… I want to see how he’d react”.

“Players need time to adapt. It’s a normal process. At Brentford, two or three minutes before the goal we conceded exactly the same with player behind Garnacho was alone again”. https://t.co/V0zK0Nvjxj",1841,541,35205,123,313,2426914,35205,1841,22
1969160183826747678,2025-09-19 22:02:27+00:00,['1969160183826747678'],"❤️🤍 Arteta on Gabriel vs Haaland: “Well, Gabriel can get up to anybody in the world”.

“He’s someone that really enjoys the defensive part, the contact, the physicality. When the game has to get to that part, he enjoys it. That’s a big quality to have”. https://t.co/HIvSq3n007",2606,513,40922,74,307,1414761,40922,2606,22
1969145980902637627,2025-09-19 21:06:01+00:00,['1969145980902637627'],"🚨🇦🇷 Lionel Messi, closing in on new deal at Inter Miami with agreement at advanced stages.

Not a done deal yet as of today with few points to clarify and MLS approval to all conditions to follow.

The agreement could be sealed soon with talks accelerating in recent weeks. https://t.co/Eh3YxrjnfQ",2405,1084,42177,223,584,7719160,42177,2405,21
1969105517894041663,2025-09-19 18:25:14+00:00,['1969105517894041663'],"🚨😁 Rúben Amorim: “Sir Jim Ratcliffe offered me a new contract. He was offering me a new contract [laughs]”.

“No, it was normal things, to show his support, explaining that it is a long project. He said many times this is my first season. For me it's not”, told @Beanymansports. https://t.co/QMSOVd1fAm",1124,715,17970,206,441,2432525,17970,1124,18
1969044445799555403,2025-09-19 14:22:33+00:00,['1969044445799555403'],"❤️🤍 Arteta on Madueke: “I was sure he was a player with a talent and a level of threat and unpredictability that will make us better”. 

“When I picked up the phone to speak to him and his dad, I had rhe impression that they were really willing to come”. https://t.co/sHJvky4qxv",1708,509,29612,39,186,1147563,29612,1708,14
1969043468757422514,2025-09-19 14:18:40+00:00,['1969043468757422514'],"❤️🤍 Arteta on Mosquera: “He’s very good, credit to the scouting department and Andrea Berta”.

“No concerns. He is extremely focused, very determined, very clear he wanted to come here. To come here to play and earn his place. He’s been impressive”. https://t.co/pP69k1DOsR",2384,428,38133,59,225,1202174,38133,2384,14
1969042421330714667,2025-09-19 14:14:30+00:00,['1969042421330714667'],"🚨 Pep Guardiola: “I want to say to my friend, Mikel Arteta, if he wins Premier League title… well it will jusr be because of spending, not because he worked a lot!”.

“Like Liverpool! If Arne Slot wins title again, it will be because he spent a lot of money this year, right?”. https://t.co/9udIeufpF4",4792,3150,58215,2045,5098,8487298,58215,4792,14
1969018044404949429,2025-09-19 12:37:39+00:00,['1969018044404949429'],🚨🔙 Rúben Amorim confirms Matheus Cunha and Mason Mount are back and available against Chelsea. https://t.co/9U0UXtHwme,4985,1532,77802,1055,354,2233319,77802,4985,12
1969017791790346462,2025-09-19 12:36:38+00:00,['1969017791790346462'],"🚨 Rúben Amorim when asked about Garnacho at Chelsea: “Garnacho is not our player, I'm focused on our players”. https://t.co/VMaj4JFK3O",1982,712,43188,125,213,1689876,43188,1982,12
1969005033208357164,2025-09-19 11:45:56+00:00,['1969005033208357164'],"🤍🇧🇷 Xabi Alonso: “Vinicius looks good to me”.

“Yesterday wasn't the time to talk to him, but today he seemed more positive and more smiling. I spoke with him, not much, we did some individual exercises. We'll see tomorrow”. https://t.co/tPNsMSeuR2",967,469,23520,47,126,1256413,23520,967,11
1968999790131257772,2025-09-19 11:25:06+00:00,['1968999790131257772'],"💙🎣 Enzo Maresca when asked how hard is life for Disasi and Sterling out of the squad…

“My father was fisherman. Going to work from 2am to 10am every day for 50 years. This is hard in life, not being a football player”. https://t.co/T2GvxCjOuT",7124,1911,83954,1973,4225,6549466,83954,7124,11
1968998415632597355,2025-09-19 11:19:39+00:00,['1968998415632597355'],"🚨🐺 Jorgen Strand Larsen set to sign new long term deal at Wolves as documents have been approved.

Contract until June 2030 plus option until June 2031, salary raised and no release clause. https://t.co/4HEkWANYtf",604,326,12532,53,69,823196,12532,604,11
1968997970474340479,2025-09-19 11:17:53+00:00,['1968997970474340479'],"Send your 𝐃𝐞𝐫𝐛𝐲 𝐩𝐫𝐞𝐝𝐢𝐜𝐭𝐢𝐨𝐧! 🍿😮‍💨

Big weekend ahead with many top games to follow ✨

Download @betwayscores App from App Store: https://t.co/LRiiMkId3E 📱⚽

#ad https://t.co/owhXD8txBM",299,279,5829,7,82,717245,5829,299,11
1968992658845508044,2025-09-19 10:56:46+00:00,['1968992658845508044'],@LashKokiashvili ❤️😁,7,36,537,0,2,88739,537,7,10
1968988831606067241,2025-09-19 10:41:34+00:00,['1968988831606067241'],"🚨 Rashford on his future: “I want to stay as long as possible at Barcelona. I have to focus on doing my job, helping the team in any way I can”.

“I can feel the confidence that Flick has given me. I knew he was great before I signed, but working with him is a real pleasure”. https://t.co/8zMwW2ZUgQ",2426,814,34345,70,309,990511,34345,2426,10
1968982137484292321,2025-09-19 10:14:58+00:00,['1968982137484292321'],"🚨🧨 Maresca: “Ale Garnacho vs Man United? I think he’s ready to start”.

“In the last two games, he was inside very good. We are happy in the way he is adapting to our style”. https://t.co/Cl2dXdWM4x",2560,762,46559,460,263,2662104,46559,2560,10
1968981705684824492,2025-09-19 10:13:15+00:00,['1968981705684824492'],"🚨 Maresca: “I really appreciate Ruben Amorim. He's a magnificent manager”. 

“Sometimes you can struggle a little bit more or less at the start of a project. I have no doubt he's a fantastic manager, I watched his games since in Sporting”. https://t.co/oG2LE5ZKnK",1933,728,37576,234,242,1299766,37576,1933,10
1968981375089828333,2025-09-19 10:11:56+00:00,['1968981375089828333'],"🚨⚠️ Maresca: “I've been in Sterling and Disasi’s situation as a player. For sure, I know it's not the best feeling. You want to train and play games”.

“The situation is like this for different reasons. I know the club is giving them the opportunity to work in the right way”.w https://t.co/JlNwtTYRwS",1139,368,22655,33,116,1193802,22655,1139,10
1968967674525839435,2025-09-19 09:17:29+00:00,['1968967674525839435'],"💙🇳🇴 Pep Guardiola: “Haaland scored 50 goals in 49 games… Erling, Leo Messi, Cristiano Ronaldo, they are on another planet”.

“It’s not easy for Erling always with many defenders around him but he’s fantastic. He is also improving this season”. https://t.co/8DEUlMo4sM",2518,563,43845,55,277,1203270,43845,2518,9
1968964206448746774,2025-09-19 09:03:43+00:00,['1968964206448746774'],"🚨🔴⚪️ Richard Garlick becomes new Arsenal Chief Executive Officer with immediate effect.

After five years with Arsenal, Tim Lewis steps down from the Board and has left the club. https://t.co/TY9OqEK6mx",1380,484,21923,63,193,950821,21923,1380,9
1968962939848712521,2025-09-19 08:58:41+00:00,['1968962939848712521'],"🔵🔴 Hansi Flick: “I told Deco in the summer: bring me Rashford, bring me Rashford, please… we needed a player like him”. https://t.co/jPBybNMNmF",4358,841,90237,222,826,2851016,90237,4358,8
1968962535500964154,2025-09-19 08:57:04+00:00,['1968962535500964154'],"🚨 Eddie Howe: “Unfortunately we think je will be out until the next international break”.

“He's sort of got a race on to be fit for that Brighton game. Hopefully he can make it”. https://t.co/FDru4IeqY8",806,330,22363,13,82,1275525,22363,806,8
1968838017352687932,2025-09-19 00:42:17+00:00,['1968838017352687932'],"🚨 Hansi Flick: “I spoke with Rashford in July and told him: I need you in my team”.

“I’m not surprised. Rashford is a player with amazing talent and an incredible ability to finish attacks, which we see in training”. https://t.co/vFnoAXwIrj",3223,612,54311,133,418,1687017,54311,3223,0
1968837709855605065,2025-09-19 00:41:03+00:00,['1968837709855605065'],"💙✨ Pep Guardiola: “Nico O’Reilly… he’s a top, top player. He can play in three, four positions”.

“His presence in set-pieces, one-v-one, with the ball he's really good, arrives good in the final positions”.

“He's a player hopefully for many years!”, says via @City_Xtra. https://t.co/hjJIDbMmWt",1048,255,22296,52,137,1113307,22296,1048,0
